 aa352   a5
 b264b    0
 b2650    0
 b4fce   aa
 b4fdd   ff
 b4fe9   ff
 b4ff9   1a
 b5004   ff
 b500b   ff
 b5011   ff
 b5017   ff
 b501d   ff
 b5023   ff
 b5029   ff
 b502f   ff
 b5035   ff
 b503b   ff
 b5041   ff
 b5047   ff
 b504d   ff
 b5053   ff
 b5059   ff
 b505f   ff
 b5065   ff
 b506b   ff
 b5071   ff
 b5077   ff
 b507d   ff
 b5083   ff
 b5089   ff
 b508f   ff
 b5095   ff
 b509b   ff
 b50a1   ff
 b50a7   ff
 b50ad   ff
 b50b3   ff
 b50b9   ff
 b50bf   ff
 b50c5   ff
 b50cb   ff
 b50d1   ff
 b50d7   ff
 b50dd   ff
 b50e3   ff
 b50e9   ff
 b50ef   ff
 b50f5   ff
 b50fb   ff
 b5101   ff
 b5107   ff
 b510d   ff
 b5113   ff
 b5119   ff
 b511f   ff
 b5125   ff
 b512b   ff
 b5131   ff
 b5137   ff
 b513d   ff
 b5143   ff
 b5149   ff
 b514f   ff
 b5155   ff
 b515b   ff
 b5161   ff
 b5167   ff
 b516d   ff
 b5173   ff
 b5179   ff
 b517f   ff
 b5185   ff
 b518b   ff
 b5191   ff
 b5197   ff
 b519d   ff
 b51a3   ff
 b51a9   ff
 b51af   ff
 b51b5   ff
 b51bb   ff
 b51c1   ff
 b51c7   ff
 b51cd   ff
 b51d3   ff
 b51d9   ff
 b51df   ff
 b51e5   ff
 b51eb   ff
 b51f1   ff
 b51f7   ff
 b51fd   ff
 b5203   ff
 b5209   ff
 b520f   ff
 b5215   ff
 b521b   ff
 b5221   ff
 b5227   ff
 b522d   ff
 b5233   ff
 b5239   ff
 b523f   ff
 b5245   ff
 b524b   ff
 b5251   ff
 b5257   ff
 b525d   ff
 b5270   48
 cd2a8    0
 cd2ba    0
 cd2c8    0
 cd2d7 ffff
 cd2dd ffff
 cd303    0
 cd306    0
 cd316    0
 cd32f    0
 cd34d    0
 cd35b   a3
 cd36d    0
 cd37b   a3
 cd390   11
 cd399    d
 cd3a2    9
 cd3ab    5
 cd3c6    5
 cd3d6    0
 cd3e6   82
 cd3fc    0
 cd410   2a
 cd425    0
 cd439   2a
 cd44e    0
 cd462   2a
 cd477    0
 cd48b   2a
 cd4a0    0
 cd4b4   2a
 cd4c9    0
 cd4dd   2a
 cd4f2    0
 cd506   2a
 cd51b    0
 cd52f   2a
 cd544    0
 cd558   2a
 cd56d    0
 cd581   2a
 cd596    0
 cd5aa   2a
 cd5bf    0
 cd5d3   2a
 cd5e8    0
 cd5fc   2a
 cd611    0
 cd625   2a
 cd63a    0
 cd64e   2a
 cd663    0
 cd677   2a
 cd68c    0
 cd6a0   2a
 cd6b5    0
 cd6c9   2a
 cd6de    0
 cd6f2   2a
 cd707    0
 cd71b   2a
 cd759    0
 cd769   82
 cd77f    0
 cd793   2a
 cd7a8    0
 cd7bc   2a
 cd7d1    0
 cd7e5   2a
 cd7fa    0
 cd80e   2a
 cd823    0
 cd837   2a
 cd84c    0
 cd860   2a
 cd875    0
 cd889   2a
 cd89e    0
 cd8b2   2a
 cd8c7    0
 cd8db   2a
 cd8f0    0
 cd904   2a
 cd919    0
 cd92d   2a
 cd942    0
 cd956   2a
 cd96b    0
 cd97f   2a
 cd994    0
 cd9a8   2a
 cd9bd    0
 cd9d1   2a
 cd9e6    0
 cd9fa   2a
 cda0f    0
 cda23   2a
 cda38    0
 cda4c   2a
 cda61    0
 cda75   2a
 cda8a    0
 cda9e   2a
 cdac3    0
 cdad1   82
 cdb15    0
 cdb18    1
 ced5b    0
 ced69   a0
 cf190   ff
 e34e8    9
 e4712    1
 e4715    1
 e4718    0
 e471c    0
 e471f    0
 e4722    0
 e4725    0
 e4728    1
 e4861    0
 e4865    0
 e4868    0
 e486b    1
 e49a4    0
 e49a8    0
 e49ab    1
 e4ae4    0
 e4ae8    0
 e4aeb    1
 e4c24    0
 e4c28    0
 e4c2b    0
 e4c2e    1
 e4d67    0
 e4d6b    0
 e4d6e    1
 e4ea7    0
 e4eab    0
 e4eae    1
 e4fe7    0
 e4feb    0
 e4fee    0
 e4ff1    1
 e512a    0
 e512e    0
 e5131    1
 e526a    0
 e526e    0
 e5271    1
 e53aa    0
 e53ae    0
 e53b1    0
 e53b4    1
